ISIN,Name,Listed_In,BSE_Symbol,NSE_Symbol,search query
IN9175A01010,JAIN IRRIGATION SYSTEMS LTD.,"BSE, NSE",JISLDVREQS,JISLDVREQS,JAIN IRRIGATION SYSTEMS LTD. investor relations
IN9623B01058,Future Enterprises Limited,NSE,,FELDVR,Future Enterprises Limited investor relations
INE001B01026,KRBL LTD.,"BSE, NSE",KRBL,KRBL,KRBL LTD. investor relations
INE001E01012,PREMCO GLOBAL LTD.,BSE,PREMCO,,PREMCO GLOBAL LTD. investor relations
INE001F01019,MODERN STEELS LTD.,BSE,MDRNSTL,,MODERN STEELS LTD. investor relations
INE001O01029,RISA INTERNATIONAL LTD.,BSE,RISAINTL,,RISA INTERNATIONAL LTD. investor relations
INE002A01018,RELIANCE INDUSTRIES LTD.,"BSE, NSE",RELIANCE,RELIANCE,RELIANCE INDUSTRIES LTD. investor relations
INE002B01016,SOFTSOL INDIA LTD.,BSE,SOFTSOL,,SOFTSOL INDIA LTD. investor relations
INE002L01015,SJVN LTD,"BSE, NSE",SJVN,SJVN,SJVN LTD investor relations
INE002S01010,Mahanagar Gas Limited,"BSE, NSE",MGL,MGL,Mahanagar Gas Limited investor relations
INE003A01024,SIEMENS LTD.,"BSE, NSE",SIEMENS,SIEMENS,SIEMENS LTD. investor relations
INE003B01014,INTER STATE OIL CARRIER LTD.,BSE,INTSTOIL,,INTER STATE OIL CARRIER LTD. investor relations
INE003F01015,MULLER & PHIPPS (INDIA) LTD.,BSE,MULLER,,MULLER & PHIPPS (INDIA) LTD. investor relations
INE004A01022,Protean eGov Technologies Limi,"BSE, NSE",PROTEAN,PROTEAN,Protean eGov Technologies Limi investor relations
INE004C01028,GUJARAT COTEX LTD.,BSE,GUJCOTEX,,GUJARAT COTEX LTD. investor relations
INE005B01027,AVANTEL LTD.,"BSE, NSE",AVANTEL,AVANTEL,AVANTEL LTD. investor relations
INE005C01017,RTS POWER CORPORATION LTD.,BSE,RTSPOWR,,RTS POWER CORPORATION LTD. investor relations
INE005E01013,Ekansh Concepts Limited,BSE,EKANSH,,Ekansh Concepts Limited investor relations
INE005G01026,Deep Diamond India Limited,BSE,DDIL,,Deep Diamond India Limited investor relations
INE005I01014,AMD INDUSTRIES LTD.,"BSE, NSE",AMDIND,AMDIND,AMD INDUSTRIES LTD. investor relations
INE006C01015,K.Z.LEASING & FINANCE LTD.,BSE,KZLFIN,,K.Z.LEASING & FINANCE LTD. investor relations
INE006F01018,NB FOOTWEAR LTD.,BSE,NBFOOT,,NB FOOTWEAR LTD. investor relations
INE006I01046,ASTRAL LIMITED,"BSE, NSE",ASTRAL,ASTRAL,ASTRAL LIMITED investor relations
INE006Z01016,Arvee Laboratories (India) Limited,NSE,,ARVEE,Arvee Laboratories (India) Limited investor relations
INE007A01025,CRISIL LTD.,"BSE, NSE",CRISIL,CRISIL,CRISIL LTD. investor relations
INE007B01023,Geojit Financial Services Limi,"BSE, NSE",GEOJITFSL,GEOJITFSL,Geojit Financial Services Limi investor relations
INE007C01021,INDRAYANI BIOTECH LTD.,BSE,INDRANIB,,INDRAYANI BIOTECH LTD. investor relations
INE007N01010,Fedbank Financial Services Lim,"BSE, NSE",FEDFINA,FEDFINA,Fedbank Financial Services Lim investor relations
INE008A01015,IDBI BANK LTD.,"BSE, NSE",IDBI,IDBI,IDBI BANK LTD. investor relations
INE008B01013,AIMCO PESTICIDES LTD.,BSE,AIMCOPEST,,AIMCO PESTICIDES LTD. investor relations
INE008C01011,ROYALE MANOR HOTELS & INDUSTRI,BSE,RAYALEMA,,ROYALE MANOR HOTELS & INDUSTRI investor relations
INE008N01018,TIRTH PLASTIC LTD.,BSE,TIRTPLS,,TIRTH PLASTIC LTD. investor relations
INE009A01021,INFOSYS LTD.,"BSE, NSE",INFY,INFY,INFOSYS LTD. investor relations
INE009C01019,SRI KPR INDUSTRIES LTD.,BSE,SRIKPRIND,,SRI KPR INDUSTRIES LTD. investor relations
INE00CA01015,Trejhara Solutions Limited,"BSE, NSE",TREJHARA,TREJHARA,Trejhara Solutions Limited investor relations
INE00CE01017,Shree Vasu Logistics Limited,NSE,,SVLL,Shree Vasu Logistics Limited investor relations
INE00CX01017,Mahip Industries Limited,BSE,MAHIP,,Mahip Industries Limited investor relations
INE00E101023,Bikaji Foods International Lim,"BSE, NSE",BIKAJI,BIKAJI,Bikaji Foods International Lim investor relations
INE00EM01016,Megastar Foods Limited,"BSE, NSE",MEGASTAR,MEGASTAR,Megastar Foods Limited investor relations
INE00EV01017,Hariom Pipe Industries Limited,"BSE, NSE",HARIOMPIPE,HARIOMPIPE,Hariom Pipe Industries Limited investor relations
INE00F201020,Prudent Corporate Advisory Ser,"BSE, NSE",PRUDENT,PRUDENT,Prudent Corporate Advisory Ser investor relations
INE00FF01025,ACUTAAS CHEMICALS LIMITED,"BSE, NSE",ACUTAAS,ACUTAAS,ACUTAAS CHEMICALS LIMITED investor relations
INE00FM01013,B&A PACKAGING INDIA LIMITED,BSE,BAPACK,,B&A PACKAGING INDIA LIMITED investor relations
INE00GK01023,Yash Highvoltage Limited,BSE,YASHHV,,Yash Highvoltage Limited investor relations
INE00H001014,SWIGGY LIMITED,"BSE, NSE",SWIGGY,SWIGGY,SWIGGY LIMITED investor relations
INE00HZ01011,BN AGROCHEM LIMITED,BSE,BNAGROCHEM,,BN AGROCHEM LIMITED investor relations
INE00IK01029,ShreeOswal Seeds And Chemicals Limited,NSE,,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited investor relations
INE00IN01015,STOVE KRAFT LIMITED,"BSE, NSE",STOVEKRAFT,STOVEKRAFT,STOVE KRAFT LIMITED investor relations
INE00IY01012,Deep Polymers Limited,BSE,DEEP,,Deep Polymers Limited investor relations
INE00KV01022,Rajnandini Metal Limited,NSE,,RAJMET,Rajnandini Metal Limited investor relations
INE00LM01029,SONAM LIMITED,NSE,,SONAMLTD,SONAM LIMITED investor relations
INE00LO01017,Craftsman Automation Limited,"BSE, NSE",CRAFTSMAN,CRAFTSMAN,Craftsman Automation Limited investor relations
INE00M201021,STERLING AND WILSON RENEWABLE,"BSE, NSE",SWSOLAR,SWSOLAR,STERLING AND WILSON RENEWABLE investor relations
INE00M901018,Interarch Building Solutions L,"BSE, NSE",INTERARCH,INTERARCH,Interarch Building Solutions L investor relations
INE00OQ01016,Dharmaj Crop Guard Limited,"BSE, NSE",DHARMAJ,DHARMAJ,Dharmaj Crop Guard Limited investor relations
INE00PV01013,Ahlada Engineers Limited,NSE,,AHLADA,Ahlada Engineers Limited investor relations
INE00Q601028,Studds Accessories Limited,"BSE, NSE",STUDDS,STUDDS,Studds Accessories Limited investor relations
INE00Q901014,S. M. Gold Limited,BSE,SMGOLD,,S. M. Gold Limited investor relations
INE00QT01015,Synergy Green Industries Limit,"BSE, NSE",SGIL,SGIL,Synergy Green Industries Limit investor relations
INE00R701025,DALMIA BHARAT LIMITED,"BSE, NSE",DALBHARAT,DALBHARAT,DALMIA BHARAT LIMITED investor relations
INE00RL01028,Highway Infrastructure Limited,"BSE, NSE",HILINFRA,HILINFRA,Highway Infrastructure Limited investor relations
INE00S901012,Nila Spaces Ltd,"BSE, NSE",NILASPACES,NILASPACES,Nila Spaces Ltd investor relations
INE00ST01011,B.R.GOYAL INFRASTRUCTURE LIMIT,BSE,BRGIL,,B.R.GOYAL INFRASTRUCTURE LIMIT investor relations
INE00SW01015,BCPL Railway Infrastructure Li,BSE,BCPL,,BCPL Railway Infrastructure Li investor relations
INE00TV01023,SUDARSHAN PHARMA INDUSTRIES LI,BSE,SUDARSHAN,,SUDARSHAN PHARMA INDUSTRIES LI investor relations
INE00U401027,UNICOMMERCE ESOLUTIONS LIMITED,"BSE, NSE",UNIECOM,UNIECOM,UNICOMMERCE ESOLUTIONS LIMITED investor relations
INE00VM01036,Manorama Industries Limited,"BSE, NSE",MANORAMA,MANORAMA,Manorama Industries Limited investor relations
INE00WC01027,AFFLE 3I LIMITED,"BSE, NSE",AFFLE,AFFLE,AFFLE 3I LIMITED investor relations
INE00Y201027,Flair Writing Industries Limit,"BSE, NSE",FLAIR,FLAIR,Flair Writing Industries Limit investor relations
INE00Y801016,Akg Exim Limited,NSE,,AKG,Akg Exim Limited investor relations
INE00YB01025,A B INFRABUILD LIMITED,"BSE, NSE",ABINFRA,ABINFRA,A B INFRABUILD LIMITED investor relations
INE00YJ01010,Jaro Institute of Technology M,"BSE, NSE",JARO,JARO,Jaro Institute of Technology M investor relations
INE00Z501029,Kritika Wires Limited,NSE,,KRITIKA,Kritika Wires Limited investor relations
INE00ZE01026,ABANS FINANCIAL SERVICES LIMIT,"BSE, NSE",AFSL,AFSL,ABANS FINANCIAL SERVICES LIMIT investor relations
INE010601016,Entero Healthcare Solutions Li,"BSE, NSE",ENTERO,ENTERO,Entero Healthcare Solutions Li investor relations
INE010A01011,PRISM JOHNSON LIMITED.,"BSE, NSE",PRSMJOHNSN,PRSMJOHNSN,PRISM JOHNSON LIMITED. investor relations
INE010B01027,Zydus Lifesciences Limited,"BSE, NSE",ZYDUSLIFE,ZYDUSLIFE,Zydus Lifesciences Limited investor relations
INE010C01025,SWISS MILITARY CONSUMER GOODS,BSE,SWISSMLTRY,,SWISS MILITARY CONSUMER GOODS investor relations
INE010J01012,Tejas Networks Limited,"BSE, NSE",TEJASNET,TEJASNET,Tejas Networks Limited investor relations
INE010R01023,Ultracab (India) Limited,BSE,ULTRACAB,,Ultracab (India) Limited investor relations
INE010V01017,L&T Technology Services Limite,"BSE, NSE",LTTS,LTTS,L&T Technology Services Limite investor relations
INE011B01017,CLIO INFOTECH LTD.,BSE,CLIOINFO,,CLIO INFOTECH LTD. investor relations
INE011D01013,SHERVANI INDUSTRIAL SYNDICATE,BSE,SHERVANI,,SHERVANI INDUSTRIAL SYNDICATE investor relations
INE011E01029,BALU FORGE INDUSTRIES LIMITED,"BSE, NSE",BALUFORGE,BALUFORGE,BALU FORGE INDUSTRIES LIMITED investor relations
INE011K01018,Tega Industries Limited,"BSE, NSE",TEGA,TEGA,Tega Industries Limited investor relations
INE011R01013,Atishay Limited,BSE,ATISHAY,,Atishay Limited investor relations
INE012A01025,ACC LTD.,"BSE, NSE",ACC,ACC,ACC LTD. investor relations
INE012E01035,DIANA TEA CO.LTD.,BSE,DIANATEA,,DIANA TEA CO.LTD. investor relations
INE012Q01021,R&B DENIMS LTD,"BSE, NSE",RNBDENIMS,RNBDENIMS,R&B DENIMS LTD investor relations
INE013801027,Kshitij Polyline Limited,NSE,,KSHITIJPOL,Kshitij Polyline Limited investor relations
INE013E01017,PANASONIC CARBON INDIA CO.LTD.,BSE,PANCARBON,,PANASONIC CARBON INDIA CO.LTD. investor relations
INE013J01016,KRISHANVEER FORGE LIMITED,BSE,KVFORGE,,KRISHANVEER FORGE LIMITED investor relations
INE013P01021,Onesource Specialty Pharma Lim,"BSE, NSE",ONESOURCE,ONESOURCE,Onesource Specialty Pharma Lim investor relations
INE013V01011,SHELTER PHARMA LIMITED,BSE,SHELTER,,SHELTER PHARMA LIMITED investor relations
INE014B01011,TECIL CHEMICALS & HYDRO POWER,"BSE, NSE",TECILCHEM,TECILCHEM,TECIL CHEMICALS & HYDRO POWER investor relations
INE014E01015,KOVILPATTI LAKSHMI ROLLER FLOU,BSE,KLRFM,,KOVILPATTI LAKSHMI ROLLER FLOU investor relations
INE015B01018,WIM PLAST LTD.,BSE,WIMPLAST,,WIM PLAST LTD. investor relations
INE015C01016,TINNA RUBBER AND INFRASTRUCTUR,"BSE, NSE",TINNARUBR,TINNARUBR,TINNA RUBBER AND INFRASTRUCTUR investor relations
INE015D01022,MANAKSIA LTD.,"BSE, NSE",MANAKSIA,MANAKSIA,MANAKSIA LTD. investor relations
INE015E01012,PARAGON FINANCE LTD.,BSE,PARAGONF,,PARAGON FINANCE LTD. investor relations
INE016A01026,DABUR INDIA LTD.,"BSE, NSE",DABUR,DABUR,DABUR INDIA LTD. investor relations
INE016M01021,Diligent Media Corporation Lim,"BSE, NSE",DNAMEDIA,DNAMEDIA,Diligent Media Corporation Lim investor relations
INE016Q01014,CEINSYS TECH LIMITED,BSE,CEINSYSTECH,,CEINSYS TECH LIMITED investor relations
INE016X01010,Aryan Share & Stock Brokers Lt,BSE,ARYAN,,Aryan Share & Stock Brokers Lt investor relations
INE017A01032,GREAT EASTERN SHIPPING CO.LTD.,"BSE, NSE",GESHIP,GESHIP,GREAT EASTERN SHIPPING CO.LTD. investor relations
INE017C01012,KISAN MOULDINGS LTD.,BSE,KISAN,,KISAN MOULDINGS LTD. investor relations
INE017E01018,INTEC CAPITAL LTD.,BSE,INTECCAP,,INTEC CAPITAL LTD. investor relations
INE017I01027,SERA INVESTMENTS & FINANCE IND,BSE,SERA,,SERA INVESTMENTS & FINANCE IND investor relations
INE017W01010,Sarthak Metals Limited,"BSE, NSE",SMLT,SMLT,Sarthak Metals Limited investor relations
INE018401013,Suvidhaa Infoserve Limited,"BSE, NSE",SUVIDHAA,SUVIDHAA,Suvidhaa Infoserve Limited investor relations
INE018A01030,LARSEN & TOUBRO LTD.,"BSE, NSE",LT,LT,LARSEN & TOUBRO LTD. investor relations
INE018E01016,SBI CARDS AND PAYMENT SERVICES,"BSE, NSE",SBICARD,SBICARD,SBI CARDS AND PAYMENT SERVICES investor relations
INE018S01016,RITA FINANCE AND LEASING LIMIT,BSE,RFLL,,RITA FINANCE AND LEASING LIMIT investor relations
INE019A01038,JSW STEEL LTD.,"BSE, NSE",JSWSTEEL,JSWSTEEL,JSW STEEL LTD. investor relations
INE019B01010,TRANSCHEM LTD.,BSE,TRANSCHEM,,TRANSCHEM LTD. investor relations
INE019C01026,Himadri Speciality Chemical Lt,"BSE, NSE",HSCL,HSCL,Himadri Speciality Chemical Lt investor relations
INE019D01016,Mahaveer Infoway Limited,BSE,MAHAVEER,,Mahaveer Infoway Limited investor relations
INE019J01013,Sastasundar Ventures Limited,"BSE, NSE",SASTASUNDR,SASTASUNDR,Sastasundar Ventures Limited investor relations
INE01A001028,STANLEY LIFESTYLES LIMITED,"BSE, NSE",STANLEY,STANLEY,STANLEY LIFESTYLES LIMITED investor relations
INE01A501027,Ranjeet Mechatronics Limited,BSE,RANJEET,,Ranjeet Mechatronics Limited investor relations
INE01B501018,Add-Shop E-Retail Limited,BSE,ASRL,,Add-Shop E-Retail Limited investor relations
INE01BK01022,Antony Waste Handling Cell Lim,"BSE, NSE",AWHCL,AWHCL,Antony Waste Handling Cell Lim investor relations
INE01BL01012,Northern Spirits Limited,BSE,NSL,,Northern Spirits Limited investor relations
INE01BT01015,Machhar Industries Limited,BSE,MACIND,,Machhar Industries Limited investor relations
INE01C001026,Aartech Solonics Limited,"BSE, NSE",AARTECH,AARTECH,Aartech Solonics Limited investor relations
INE01EA01019,Vishal Mega Mart Limited,"BSE, NSE",VMM,VMM,Vishal Mega Mart Limited investor relations
INE01EE01011,B&B Triplewall Containers Limited,NSE,,BBTCL,B&B Triplewall Containers Limited investor relations
INE01EG01016,Ritco Logistics Limited,"BSE, NSE",RITCO,RITCO,Ritco Logistics Limited investor relations
INE01EO01010,Spectrum Electrical Industries,"BSE, NSE",SPECTRUM,SPECTRUM,Spectrum Electrical Industries investor relations
INE01FR01028,Baazar Style Retail Limited,"BSE, NSE",STYLEBAAZA,STYLEBAAZA,Baazar Style Retail Limited investor relations
INE01GN01025,Iris Clothings Limited,NSE,,IRISDOREME,Iris Clothings Limited investor relations
INE01GR01018,Diksha Greens Limited,BSE,DGL,,Diksha Greens Limited investor relations
INE01GZ01011,Chandni Machines Limited,BSE,CHANDNIMACH,,Chandni Machines Limited investor relations
INE01II01013,Silgo Retail Limited,NSE,,SILGO,Silgo Retail Limited investor relations
INE01IU01018,Sky Gold And Diamonds Limited,"BSE, NSE",SKYGOLD,SKYGOLD,Sky Gold And Diamonds Limited investor relations
INE01J501010,Shubham Polyspin Limited,BSE,SHUBHAM,,Shubham Polyspin Limited investor relations
INE01JE01028,Marine Electricals (India) Limited,NSE,,MARINE,Marine Electricals (India) Limited investor relations
INE01K301012,Harish Textile Engineers Limit,BSE,HARISH,,Harish Textile Engineers Limit investor relations
INE01KI01027,VINNY OVERSEAS LIMITED,"BSE, NSE",VINNY,VINNY,VINNY OVERSEAS LIMITED investor relations
INE01NE01012,Shankar Lal Rampal Dye-Chem Li,"BSE, NSE",SRD,SRD,Shankar Lal Rampal Dye-Chem Li investor relations
INE01P501012,Xelpmoc Design and Tech Limite,"BSE, NSE",XELPMOC,XELPMOC,Xelpmoc Design and Tech Limite investor relations
INE01QM01018,eMudhra Limited,"BSE, NSE",EMUDHRA,EMUDHRA,eMudhra Limited investor relations
INE01R501028,Vikran Engineering Limited,"BSE, NSE",VIKRAN,VIKRAN,Vikran Engineering Limited investor relations
INE01TL01014,BOMBAY OXYGEN INVESTMENTS LIMI,BSE,BOMOXY-B1,,BOMBAY OXYGEN INVESTMENTS LIMI investor relations
INE01TY01017,Canara HSBC Life Insurance Com,"BSE, NSE",CANHLIFE,CANHLIFE,Canara HSBC Life Insurance Com investor relations
INE020801028,Spencer's Retail Limited,"BSE, NSE",SPENCERS,SPENCERS,Spencer's Retail Limited investor relations
INE020B01018,REC LIMITED,"BSE, NSE",RECLTD,RECLTD,REC LIMITED investor relations
INE020D01022,BAID FINSERV LIMITED,"BSE, NSE",BAIDFIN,BAIDFIN,BAID FINSERV LIMITED investor relations
INE020G01017,Inspirisys Solutions Limited,"BSE, NSE",INSPIRISYS,INSPIRISYS,Inspirisys Solutions Limited investor relations
INE020J01029,GOKUL REFOILS & SOLVENT LTD.,"BSE, NSE",GOKUL,GOKUL,GOKUL REFOILS & SOLVENT LTD. investor relations
INE020S01012,GALAXY BEARINGS LTD.,BSE,GALXBRG,,GALAXY BEARINGS LTD. investor relations
INE021A01026,ASIAN PAINTS LTD.,"BSE, NSE",ASIANPAINT,ASIANPAINT,ASIAN PAINTS LTD. investor relations
INE021N01011,ARIGATO UNIVERSE LIMITED,BSE,ARIGATO,,ARIGATO UNIVERSE LIMITED investor relations
INE021O01019,Dodla Dairy Limited,"BSE, NSE",DODLA,DODLA,Dodla Dairy Limited investor relations
INE022C01012,Eurotex Industries and Exports Limited,NSE,,EUROTEXIND,Eurotex Industries and Exports Limited investor relations
INE022I01019,ASIAN GRANITO INDIA LTD.,"BSE, NSE",ASIANTILES,ASIANTILES,ASIAN GRANITO INDIA LTD. investor relations
INE022Q01020,Indian Energy Exchange Limited,"BSE, NSE",IEX,IEX,Indian Energy Exchange Limited investor relations
INE023A01030,NALWA SONS INVESTMENTS LTD.,"BSE, NSE",NSIL,NSIL,NALWA SONS INVESTMENTS LTD. investor relations
INE023H01027,NECTAR LIFESCIENCES LTD.,"BSE, NSE",NECLIFE,NECLIFE,NECTAR LIFESCIENCES LTD. investor relations
INE023M01027,SETUBANDHAN INFRASTRUCTURE LIM,"BSE, NSE",SETUINFRA,SETUINFRA,SETUBANDHAN INFRASTRUCTURE LIM investor relations
INE023R01018,ACE MEN ENGG WORKS LIMITED,BSE,ACEMEN,,ACE MEN ENGG WORKS LIMITED investor relations
INE024001021,Aeroflex Industries Limited,"BSE, NSE",AEROFLEX,AEROFLEX,Aeroflex Industries Limited investor relations
INE024B01010,JOINDRE CAPITAL SERVICES LTD.,BSE,JOINDRE,,JOINDRE CAPITAL SERVICES LTD. investor relations
INE024D01016,PRUDENTIAL SUGAR CORPORATION L,"BSE, NSE",PRUDMOULI,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION L investor relations
INE024F01011,SHILCHAR TECHNOLOGIES LTD.,"BSE, NSE",SHILCTECH,SHILCTECH,SHILCHAR TECHNOLOGIES LTD. investor relations
INE024L01027,GRAVITA INDIA LTD.,"BSE, NSE",GRAVITA,GRAVITA,GRAVITA INDIA LTD. investor relations
INE025A01027,Consolidated Finvest & Holdings Limited,NSE,,CONSOFINVT,Consolidated Finvest & Holdings Limited investor relations
INE025B01025,GOLDIAM INTERNATIONAL LTD.,"BSE, NSE",GOLDIAM,GOLDIAM,GOLDIAM INTERNATIONAL LTD. investor relations
INE025D01013,HEERA ISPAT LTD.,BSE,HEERAISP,,HEERA ISPAT LTD. investor relations
INE025R01021,Artemis Medicare Services Limi,"BSE, NSE",ARTEMISMED,ARTEMISMED,Artemis Medicare Services Limi investor relations
INE026A01025,GUJARAT STATE FERTILIZERS & CH,"BSE, NSE",GSFC,GSFC,GUJARAT STATE FERTILIZERS & CH investor relations
INE026C01013,NDA SECURITIES LTD.,BSE,NDASEC,,NDA SECURITIES LTD. investor relations
INE026D01011,LOTUS CHOCOLATE CO.LTD.,BSE,LOTUSCHO,,LOTUS CHOCOLATE CO.LTD. investor relations
INE026I01010,BHAGWATI OXYGEN LTD.,BSE,BHAGWOX,,BHAGWATI OXYGEN LTD. investor relations
INE026L01022,Tilak Ventures Limited,BSE,TILAK,,Tilak Ventures Limited investor relations
INE027A01015,RASHTRIYA CHEMICALS & FERTILIZ,"BSE, NSE",RCF,RCF,RASHTRIYA CHEMICALS & FERTILIZ investor relations
INE027D01019,NETTLINX LTD.,BSE,NETTLINX,,NETTLINX LTD. investor relations
INE027F01014,CMX HOLDINGS LIMITED,BSE,CMXLTD,,CMX HOLDINGS LIMITED investor relations
INE027H01010,Max Healthcare Institute Limit,"BSE, NSE",MAXHEALTH,MAXHEALTH,Max Healthcare Institute Limit investor relations
INE027T01023,RUDRA GLOBAL INFRA PRODUCTS LI,"BSE, NSE",RUDRA,RUDRA,RUDRA GLOBAL INFRA PRODUCTS LI investor relations
INE028A01039,BANK OF BARODA,"BSE, NSE",BANKBARODA,BANKBARODA,BANK OF BARODA investor relations
INE029A01011,BHARAT PETROLEUM CORPORATION L,"BSE, NSE",BPCL,BPCL,BHARAT PETROLEUM CORPORATION L investor relations
INE029B01019,COSYN Limited,BSE,COSYN,,COSYN Limited investor relations
INE029H01016,Sujala Trading & Holding Ltd.,BSE,SUJALA,,Sujala Trading & Holding Ltd. investor relations
INE029L01018,KALYANI INVESTMENT COMPANY LTD,"BSE, NSE",KICL,KICL,KALYANI INVESTMENT COMPANY LTD investor relations
INE02A801020,ROSSARI BIOTECH LIMITED,"BSE, NSE",ROSSARI,ROSSARI,ROSSARI BIOTECH LIMITED investor relations
INE02AP01013,Roni Households Limited,BSE,RONI,,Roni Households Limited investor relations
INE02AR01019,Anmol India Limited,"BSE, NSE",ANMOL,ANMOL,Anmol India Limited investor relations
INE02EZ01022,Axita Cotton Limited,"BSE, NSE",AXITA,AXITA,Axita Cotton Limited investor relations
INE02GA01012,Anand Rayons Limited,BSE,ARL,,Anand Rayons Limited investor relations
INE02H701025,Nova Agritech Limited,"BSE, NSE",NOVAAGRI,NOVAAGRI,Nova Agritech Limited investor relations
INE02ID01020,Raymond Lifestyle Limited,"BSE, NSE",RAYMONDLSL,RAYMONDLSL,Raymond Lifestyle Limited investor relations
INE02IJ01035,Azad Engineering Limited,"BSE, NSE",AZAD,AZAD,Azad Engineering Limited investor relations
INE02L001032,Borosil Scientific Limited,"BSE, NSE",BOROSCI,BOROSCI,Borosil Scientific Limited investor relations
INE02NC01014,Fino Payments Bank Limited,"BSE, NSE",FINOPB,FINOPB,Fino Payments Bank Limited investor relations
INE02PY01013,Borosil Limited,"BSE, NSE",BOROLTD,BOROLTD,Borosil Limited investor relations
INE02RE01045,Brainbees Solutions Limited,"BSE, NSE",FIRSTCRY,FIRSTCRY,Brainbees Solutions Limited investor relations
INE02WG01024,WONDER ELECTRICALS LIMITED,"BSE, NSE",WEL,WEL,WONDER ELECTRICALS LIMITED investor relations
INE02XD01011,HINDUSTAN APPLIANCES LTD.,BSE,HINDAPL,,HINDUSTAN APPLIANCES LTD. investor relations
INE02YR01019,Electronics Mart India Limited,"BSE, NSE",EMIL,EMIL,Electronics Mart India Limited investor relations
INE02ZQ01018,Corona Remedies Limited,"BSE, NSE",CORONA,CORONA,Corona Remedies Limited investor relations
INE030A01027,HINDUSTAN UNILEVER LTD.,"BSE, NSE",HINDUNILVR,HINDUNILVR,HINDUSTAN UNILEVER LTD. investor relations
INE030C01015,ANSAL BUILDWELL LTD.,BSE,ANSALBU,,ANSAL BUILDWELL LTD. investor relations
INE030P01017,ALACRITY SECURITIES LTD,BSE,ALSL,,ALACRITY SECURITIES LTD investor relations
INE030Q01015,Emerald Finance Limited,BSE,EMERALD,,Emerald Finance Limited investor relations
INE030T01027,Tejnaksh Healthcare Limited,BSE,TEJNAKSH,,Tejnaksh Healthcare Limited investor relations
INE031A01017,Housing &Urban Development Cor,"BSE, NSE",HUDCO,HUDCO,Housing &Urban Development Cor investor relations
INE031B01049,AJANTA PHARMA LTD.,"BSE, NSE",AJANTPHARM,AJANTPHARM,AJANTA PHARMA LTD. investor relations
INE031G01022,Optimus Finance Limited,BSE,OPTIFIN,,Optimus Finance Limited investor relations
INE032A01023,BOMBAY DYEING & MFG.CO.LTD.,"BSE, NSE",BOMDYEING,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD. investor relations
INE032B01021,PRIME SECURITIES LTD.,"BSE, NSE",PRIMESECU,PRIMESECU,PRIME SECURITIES LTD. investor relations
INE032E01017,ARYAMAN FINANCIAL SERVICES LTD,BSE,ARYAMAN,,ARYAMAN FINANCIAL SERVICES LTD investor relations
INE032Z01020,Bombay Super Hybrid Seeds Limited,NSE,,BSHSL,Bombay Super Hybrid Seeds Limited investor relations
INE033C01019,ELNET TECHNOLOGIES LTD.,BSE,ELNET,,ELNET TECHNOLOGIES LTD. investor relations
INE033E01015,MID EAST PORTFOLIO MANAGEMENT,BSE,MIDEASTP,,MID EAST PORTFOLIO MANAGEMENT investor relations
INE034A01011,ARVIND LTD.,"BSE, NSE",ARVIND,ARVIND,ARVIND LTD. investor relations
INE034B01019,GUJARAT CREDIT CORPORATION LTD,BSE,GUJCRED,,GUJARAT CREDIT CORPORATION LTD investor relations
INE034D01049,PTL ENTERPRISES LTD.,"BSE, NSE",PTL,PTL,PTL ENTERPRISES LTD. investor relations
INE034F01010,TCM LTD.,BSE,TCMLMTD,,TCM LTD. investor relations
INE034S01021,Arvind SmartSpaces Limited,"BSE, NSE",ARVSMART,ARVSMART,Arvind SmartSpaces Limited investor relations
INE035801013,Aeroflex Neu Limited,"BSE, NSE",AERONEU,AERONEU,Aeroflex Neu Limited investor relations
INE035D01020,SAVITA OIL TECHNOLOGIES LTD.,"BSE, NSE",SOTL,SOTL,SAVITA OIL TECHNOLOGIES LTD. investor relations
INE035S01028,POCL ENTERPRISES LTD,BSE,POEL,,POCL ENTERPRISES LTD investor relations
INE036A01016,RELIANCE INFRASTRUCTURE LTD.,"BSE, NSE",RELINFRA,RELINFRA,RELIANCE INFRASTRUCTURE LTD. investor relations
INE036B01030,GUJARAT AMBUJA EXPORTS LTD.,"BSE, NSE",GAEL,GAEL,GUJARAT AMBUJA EXPORTS LTD. investor relations
INE036D01028,KARUR VYSYA BANK LTD.,"BSE, NSE",KARURVYSYA,KARURVYSYA,KARUR VYSYA BANK LTD. investor relations
INE037A01022,UNIPHOS ENTERPRISES LTD.,"BSE, NSE",UNIENTER,UNIENTER,UNIPHOS ENTERPRISES LTD. investor relations
INE037B01020,SHARDUL SECURITIES LTD.,BSE,SHARDUL,,SHARDUL SECURITIES LTD. investor relations
INE037C01010,PHYTO CHEM (INDIA) LTD.,BSE,PHYTO,,PHYTO CHEM (INDIA) LTD. investor relations
INE037Z01029,Concord Enviro Systems Limited,"BSE, NSE",CEWATER,CEWATER,Concord Enviro Systems Limited investor relations
INE038A01020,HINDALCO INDUSTRIES LTD.,"BSE, NSE",HINDALCO,HINDALCO,HINDALCO INDUSTRIES LTD. investor relations
INE038B01010,SVC INDUSTRIES LIMITED,BSE,SVCIND,,SVC INDUSTRIES LIMITED investor relations
