ISIN,Name,Listed_In,BSE_Symbol,NSE_Symbol,search query
INE203G01027,INDRAPRASTHA GAS LTD.,"BSE, NSE",IGL,IGL,INDRAPRASTHA GAS LTD. investor relations
INE203N01015,SHYAMKAMAL INVESTMENTS LTD.,BSE,SHYMINV,,SHYAMKAMAL INVESTMENTS LTD. investor relations
INE203T01012,Universal Autofoundry Limited,BSE,UNIAUTO,,Universal Autofoundry Limited investor relations
INE203Y01012,Silly Monks Entertainment Limited,NSE,,SILLYMONKS,Silly Monks Entertainment Limited investor relations
INE204A01010,I G PETROCHEMICALS LTD.,"BSE, NSE",IGPL,IGPL,I G PETROCHEMICALS LTD. investor relations
INE204C01024,SHRI DINESH MILLS LTD.,BSE,SHRIDINE,,SHRI DINESH MILLS LTD. investor relations
INE204D01022,VENLON ENTERPRISES LTD.,BSE,VENLONENT,,VENLON ENTERPRISES LTD. investor relations
INE204E01012,AGARWAL INDUSTRIAL CORPORATION,"BSE, NSE",AGARIND,AGARIND,AGARWAL INDUSTRIAL CORPORATION investor relations
INE204N01013,LOOKS HEALTH SERVICES LIMITED,BSE,LOOKS,,LOOKS HEALTH SERVICES LIMITED investor relations
INE204S01012,LE LAVOIR LIMITED,BSE,LELAVOIR,,LE LAVOIR LIMITED investor relations
INE205A01025,VEDANTA LIMITED,"BSE, NSE",VEDL,VEDL,VEDANTA LIMITED investor relations
INE205B01031,ELECON ENGINEERING CO.LTD.,"BSE, NSE",ELECON,ELECON,ELECON ENGINEERING CO.LTD. investor relations
